model_feature,permutation_importance_mean,permutation_importance_sd,factor
gut_to_lymph_translocation,0.0046801303196063685,6.980268226155665e-05,gut_to_lymph_translocation
MLN_retention,0.001746383170375032,2.199649168190004e-05,MLN_retention
lymphatic_burden_index,0.011632014778543143,0.00014801953332838305,lymphatic_burden_index
macrophage_activation_score,1.5855528651887458,0.011422751398194434,macrophage_activation_score
ROS_score,0.0004767853658063759,1.3418825418706832e-05,ROS_score
cytokine_activation_score,0.003850389079950367,2.6332803086152644e-05,cytokine_activation_score
systemic_inflammatory_spillover_score,0.0012261248198428775,1.938164487369421e-05,systemic_inflammatory_spillover_score
host_adjusted_exposure_pressure,0.000760553519454299,2.1504614668368395e-05,host_adjusted_exposure_pressure
