polymer,size_class,shape,aging,n_scenarios,mean_particle_hazard,mean_interaction_risk,mean_lymphatic_burden,mean_macrophage_activation,mean_ROS,mean_cytokine,mean_final_risk,max_final_risk
PET,submicron-to-small,fiber,pristine,216,0.5534433734665333,0.5937854397853845,0.28713939592995774,0.38799488416261907,0.4136015681091153,0.4048939407814242,0.445607009520674,0.7635118870977613
PE,small microplastic,sphere,oxidized,216,0.6614523070135994,0.5959682468777632,0.29931344970965623,0.3836966590509305,0.43713073832269606,0.4138372215796371,0.4451899160852706,0.7817549868026015
PE,larger microplastic,fiber,UV-aged,216,0.6438235201436845,0.6005467051887192,0.2745798384108605,0.3905491769188546,0.4305958947883976,0.4091082322915827,0.4450620731855651,0.7744061653466606
PVC,larger microplastic,fiber,UV-aged,216,0.6568425312580954,0.6077462224660154,0.25645713072331455,0.3954011230507624,0.43102339511978793,0.40602893649775745,0.4437243227754305,0.7598652426568777
PVC,small microplastic,sphere,oxidized,216,0.6745483659605251,0.6033349106329635,0.2758531799061579,0.3871631376637737,0.43607630999889424,0.4091373495350873,0.44235248444620584,0.763243060280925
PE,submicron-to-small,fragment,pristine,216,0.5414940335512113,0.5790902190859972,0.3127002053888334,0.3750932117801684,0.41175377695724563,0.4066914476600413,0.44223155985693474,0.7734834926328399
PP,larger microplastic,fiber,UV-aged,216,0.6415985201436846,0.5989990910936515,0.2691226952291486,0.3877999137336169,0.42787749761985094,0.40634514411329226,0.4421801288429482,0.7671294210178464
PP,small microplastic,sphere,oxidized,216,0.6592273070135994,0.5944102016872533,0.29281698904491094,0.38063610353262806,0.43409829007192924,0.41072668631104414,0.44197522411605805,0.7737905925602063
PS,small microplastic,sphere,UV-aged,216,0.6441965478456899,0.5982168051104814,0.2823100394213163,0.3859755537616695,0.4305223400407921,0.40839231216387945,0.4417999157457024,0.7666003090646923
PET,larger microplastic,fragment,oxidized,216,0.6731835325578993,0.6074476377004567,0.25698361848339846,0.39198314849178423,0.43333805284683613,0.4057602076100776,0.4414251237066654,0.7560333560104333
