risk_rank,simulation_id,exposure_scenario_id,particle_id,polymer,size_um,size_class,shape,aging,charge,dose_level,daily_dose_unit,duration_days,gut_status,diet_state,particle_hazard_potential,interaction_risk_proxy,lymphatic_burden_index,macrophage_activation_score,ROS_score,cytokine_activation_score,systemic_inflammatory_spillover_score,immune_dysregulation_score,lymphatic_microplastic_immune_risk_index,final_risk_class,dominant_mechanistic_driver
21,SIM048491,EXP0072,MP0566,PVC,0.05,nano-scale,fiber,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.8047436060554244,0.7967619877776173,0.9853634484449773,0.9025601848247449,0.8895478117570061,0.9016307616454426,0.9090345582688186,0.9205261560096596,0.8596389361132066,severe,lymphatic burden dominated
22,SIM048355,EXP0072,MP0430,PS,0.05,nano-scale,fiber,oxidized,neutral,high,10.0,365,barrier-impaired,high-fat,0.7861414213452105,0.7914704355228255,0.9953257482845264,0.8981093545689192,0.8854981426362161,0.900959073836168,0.9084935469241263,0.9196950261416386,0.8596154663140717,severe,lymphatic burden dominated
23,SIM048380,EXP0072,MP0455,PS,0.1,nano-scale,fiber,UV-aged,negative,high,10.0,365,barrier-impaired,high-fat,0.7757387722475753,0.792126169478754,0.9935760039529752,0.9009394218891096,0.883946077802826,0.900953637304638,0.9081870321460722,0.9195723406909047,0.8594897494762145,severe,lymphatic burden dominated
24,SIM048518,EXP0072,MP0593,PVC,0.1,nano-scale,fiber,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.8026162493136665,0.7959092683771541,0.9859082644980132,0.9021035815050871,0.8889384429294737,0.9014351586366637,0.9087800648734387,0.9202905048386719,0.8593268662367521,severe,lymphatic burden dominated
25,SIM048382,EXP0072,MP0457,PS,0.1,nano-scale,fiber,oxidized,neutral,high,10.0,365,barrier-impaired,high-fat,0.78402042677393,0.7906100404241978,0.9955071919704972,0.897615729396768,0.8848232602491082,0.9005456568985193,0.9081935051340158,0.9193237553231212,0.8591922844215264,severe,lymphatic burden dominated
26,SIM048086,EXP0072,MP0161,PE,0.05,nano-scale,fiber,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.7910218854977893,0.789858403786938,1.0,0.8948207960964333,0.8861880820149425,0.9006648750441124,0.9087549425107985,0.9197689971888513,0.8589001149001148,severe,lymphatic burden dominated
27,SIM048410,EXP0072,MP0485,PS,1.0,submicron-to-small,fiber,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.7919949138656114,0.7909930098712318,0.9930550036332508,0.9002627877142672,0.8865090104669291,0.900965679763477,0.9071946064820658,0.919992588068188,0.8585088538195121,severe,lymphatic burden dominated
28,SIM048113,EXP0072,MP0188,PE,0.1,nano-scale,fiber,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.7889584411285665,0.7889983614757878,1.0,0.8943179365842573,0.8854947412734742,0.9002435783779162,0.9084533095978766,0.919368476155549,0.8584342741396461,severe,lymphatic burden dominated
29,SIM048221,EXP0072,MP0296,PP,0.05,nano-scale,fiber,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.7887968854977891,0.7882905992601219,0.9983205940835976,0.894040007050003,0.8850187501682436,0.8999560706432397,0.9082121898000589,0.9189165848129106,0.8575169823658095,severe,lymphatic burden dominated
30,SIM048248,EXP0072,MP0323,PP,0.1,nano-scale,fiber,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.7867334411285665,0.7874285652724919,0.9984277468027788,0.8935474317701771,0.8843442640977666,0.8995427927585424,0.90791164845896,0.9185372771157961,0.8570715085744438,severe,lymphatic burden dominated
