risk_rank,simulation_id,exposure_scenario_id,particle_id,polymer,size_um,size_class,shape,aging,charge,dose_level,daily_dose_unit,duration_days,gut_status,diet_state,particle_hazard_potential,interaction_risk_proxy,lymphatic_burden_index,macrophage_activation_score,ROS_score,cytokine_activation_score,systemic_inflammatory_spillover_score,immune_dysregulation_score,lymphatic_microplastic_immune_risk_index,final_risk_class,dominant_mechanistic_driver
82,SIM047976,EXP0072,MP0051,PET,0.1,nano-scale,fiber,UV-aged,positive,high,10.0,365,barrier-impaired,high-fat,0.7626429220624804,0.7866403884270365,0.9663514085011562,0.896091883163095,0.8749775280291914,0.8890794162747849,0.8944999223018094,0.908006641396778,0.8483075729769519,severe,lymphatic burden dominated
83,SIM048515,EXP0072,MP0590,PVC,0.1,nano-scale,fiber,UV-aged,negative,high,10.0,365,barrier-impaired,high-fat,0.7561096134733339,0.7809836294555481,0.9773298965526358,0.8913672154593936,0.8733206813222246,0.8904200699777286,0.8985114213670505,0.9091495032197866,0.8481075208550372,severe,lymphatic burden dominated
84,SIM048247,EXP0072,MP0322,PP,0.1,nano-scale,fiber,oxidized,neutral,high,10.0,365,barrier-impaired,high-fat,0.7485092041658127,0.770943947159403,0.999725257514096,0.8804679034219427,0.8710831661782318,0.8918174676598186,0.9040024511741992,0.9106468326649662,0.8479588768160087,severe,lymphatic burden dominated
85,SIM048545,EXP0072,MP0620,PVC,1.0,submicron-to-small,fiber,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.7725607229001491,0.7796995554637015,0.979475368027137,0.8911497146371465,0.8764372012681211,0.8917893515573467,0.8981705695169258,0.9105991609031074,0.8477788055716622,severe,lymphatic burden dominated
86,SIM048077,EXP0072,MP0152,PE,0.05,nano-scale,fragment,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.7704043110131039,0.7750517853250778,0.9957893893778096,0.8824205755142729,0.8760630642824626,0.8941889481360684,0.9054715456188637,0.912571184119545,0.8470676026454153,severe,lymphatic burden dominated
87,SIM048275,EXP0072,MP0350,PP,1.0,submicron-to-small,fiber,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.7570772804161439,0.7710715814433867,0.9971071134199688,0.8831342194764712,0.8728292442022781,0.8922329223673493,0.9029358839741306,0.9113137452092446,0.8469815221729747,severe,lymphatic burden dominated
88,SIM048401,EXP0072,MP0476,PS,1.0,submicron-to-small,fragment,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.774455304144593,0.7779661423465634,0.9864291174731176,0.8884786668493448,0.8770914480911937,0.8931375748299266,0.9040927952561844,0.912361991277939,0.8469621339860243,severe,lymphatic burden dominated
89,SIM048104,EXP0072,MP0179,PE,0.1,nano-scale,fragment,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.7687356342532092,0.7743670581409283,0.9958934072495478,0.8820266544940912,0.8755234349809613,0.8938588838789452,0.9052325172315829,0.9122699991720364,0.8467206150932404,severe,lymphatic burden dominated
90,SIM048346,EXP0072,MP0421,PS,0.05,nano-scale,fragment,oxidized,neutral,high,10.0,365,barrier-impaired,high-fat,0.7655380348349352,0.7766614394812505,0.9873246855688168,0.8853317520060437,0.8746938090743066,0.8922274497113354,0.9047583730565686,0.9110905334504661,0.846690815253175,severe,lymphatic burden dominated
91,SIM047411,EXP0071,MP0161,PE,0.05,nano-scale,fiber,oxidized,negative,high,10.0,365,barrier-impaired,normal,0.7910218854977893,0.7729671030623003,0.9898483599030808,0.8920703929563067,0.8782476918699609,0.8897883709837023,0.8850333545598283,0.9107374609785133,0.8464852166253312,severe,lymphatic burden dominated
92,SIM048373,EXP0072,MP0448,PS,0.1,nano-scale,fragment,oxidized,neutral,high,10.0,365,barrier-impaired,high-fat,0.7638215014980837,0.7759763011867141,0.9877533082308488,0.8849628567386958,0.8742007736080976,0.8920643595867487,0.9045527218367414,0.9108970016457413,0.8464382354494009,severe,lymphatic burden dominated
93,SIM048344,EXP0072,MP0419,PS,0.05,nano-scale,fragment,UV-aged,negative,high,10.0,365,barrier-impaired,high-fat,0.7572880698213449,0.7781878905504312,0.9821583907743028,0.8883390319031831,0.8732443282436444,0.8904529736550065,0.9043180048977401,0.9100565129141714,0.8460219075034202,severe,lymphatic burden dominated
94,SIM047438,EXP0071,MP0188,PE,0.1,nano-scale,fiber,oxidized,negative,high,10.0,365,barrier-impaired,normal,0.7889584411285665,0.7721070607511503,0.9898084667942392,0.8915635441332466,0.8775471703689011,0.8893639227619076,0.8844748764089977,0.9102904863987977,0.8459984013927296,severe,lymphatic burden dominated
95,SIM048371,EXP0072,MP0446,PS,0.1,nano-scale,fragment,UV-aged,negative,high,10.0,365,barrier-impaired,high-fat,0.7555503796811178,0.7774958476164409,0.982601837683676,0.8879668772880616,0.8727472680460207,0.8902946093864862,0.9041115621664908,0.9098646310995421,0.8457702757964896,severe,lymphatic burden dominated
96,SIM047673,EXP0071,MP0423,PS,0.05,nano-scale,fragment,oxidized,positive,high,10.0,365,barrier-impaired,normal,0.8293256758995281,0.7873323801211647,0.9620339256787716,0.9031142897079709,0.8865583345329532,0.8898109472639188,0.8749015457775163,0.9097284611195879,0.8457323055879162,severe,lymphatic burden dominated
97,SIM048212,EXP0072,MP0287,PP,0.05,nano-scale,fragment,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.768179311013104,0.7734846581058098,0.9937361746018742,0.8816025521651097,0.8748265940292151,0.8934507646024403,0.9049230912596666,0.9116437228518959,0.8456085046334204,severe,lymphatic burden dominated
98,SIM047700,EXP0071,MP0450,PS,0.1,nano-scale,fragment,oxidized,positive,high,10.0,365,barrier-impaired,normal,0.8275563796567434,0.7866768691231533,0.9627225625456568,0.9027697089633689,0.8861055901664582,0.8897549846572144,0.874814879859646,0.9096273579816392,0.8455796931494588,severe,lymphatic burden dominated
99,SIM048138,EXP0072,MP0213,PE,1.0,submicron-to-small,fiber,UV-aged,positive,high,10.0,365,barrier-impaired,high-fat,0.7365428857665195,0.7680537285421835,0.9977330029816548,0.8825981412113063,0.8682578293951263,0.8905358572752924,0.9020072540401687,0.9095984753270138,0.8453490769718447,severe,lymphatic burden dominated
100,SIM048239,EXP0072,MP0314,PP,0.1,nano-scale,fragment,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.7665106342532092,0.7727983304550996,0.9938562318984516,0.8812098887136802,0.8742895040209742,0.8931216088366132,0.9046838329906839,0.9113454962754349,0.8452635451947127,severe,lymphatic burden dominated
