gut_status,diet_state,n_scenarios,mean_lymphatic_burden,mean_macrophage_activation,mean_ROS,mean_cytokine,mean_systemic_spillover,mean_immune_dysregulation,mean_final_risk,max_final_risk
barrier-impaired,high-fat,8100,0.44069765896647123,0.49788692189192535,0.514012866071776,0.5068334071738244,0.49891281923720887,0.5154921455686882,0.5492184902005889,0.874641652884942
barrier-impaired,normal,8100,0.41605402851159834,0.4885665642258976,0.5009030991422432,0.4896963602776915,0.46275182152918937,0.49890024785890746,0.5314986026318985,0.8609165535850641
inflamed,high-fat,8100,0.3576000276159458,0.43284398513395406,0.47200729244829626,0.45779416568328657,0.4565165399046781,0.46569555232957555,0.4981158092302541,0.8250219217837335
inflamed,normal,8100,0.3354831173512602,0.4249037214147286,0.4592790827750693,0.44080514683015387,0.4209729140565123,0.4499647003269017,0.48060225017000086,0.7980220582189355
normal,high-fat,8100,0.14415908340082084,0.29686014883375345,0.36277459950692925,0.32604283865136574,0.31045589583669775,0.3382489569024834,0.3582273475225066,0.5597567149715312
normal,normal,8100,0.13047450675578273,0.29241745928910534,0.35368551656365177,0.31338162868685443,0.2880859259280695,0.327931739543918,0.3453369977711497,0.5414702287248201
