gut_status,diet_state,n_scenarios,mean_final_risk,sd_final_risk,median_final_risk,max_final_risk,severe_rate,high_or_severe_rate,mean_lymphatic_burden,mean_macrophage_activation,mean_ROS,mean_cytokine,mean_spillover
barrier-impaired,high-fat,8100,0.5492184902005889,0.11947896945234154,0.5346116800405036,0.874641652884942,0.07074074074074074,0.5871604938271605,0.44069765896647123,0.49788692189192535,0.5140128660717759,0.5068334071738244,0.49891281923720887
barrier-impaired,normal,8100,0.5314986026318985,0.11585209496269057,0.5165192395715288,0.8609165535850641,0.05074074074074074,0.5462962962962963,0.41605402851159834,0.4885665642258976,0.5009030991422432,0.4896963602776914,0.4627518215291893
inflamed,high-fat,8100,0.49811580923025406,0.09997568229488146,0.48422047790973366,0.8250219217837335,0.01345679012345679,0.44950617283950617,0.3576000276159458,0.43284398513395406,0.47200729244829626,0.4577941656832865,0.45651653990467805
inflamed,normal,8100,0.48060225017000086,0.09635608658638962,0.46687743176942065,0.7980220582189355,0.005802469135802469,0.388641975308642,0.3354831173512602,0.42490372141472854,0.45927908277506924,0.4408051468301538,0.4209729140565123
normal,high-fat,8100,0.3582273475225066,0.058775976387108325,0.35141132303286726,0.5597567149715312,0.0,0.015432098765432098,0.14415908340082084,0.29686014883375345,0.36277459950692925,0.32604283865136574,0.3104558958366977
normal,normal,8100,0.3453369977711496,0.05701160938758682,0.339062837374228,0.5414702287248201,0.0,0.0072839506172839505,0.13047450675578273,0.2924174592891053,0.35368551656365177,0.3133816286868544,0.2880859259280695
