dominant_mechanistic_driver,n_scenarios,mean_final_risk,median_final_risk,max_final_risk,severe_rate,percent_scenarios
oxidative stress dominated,33846,0.4090278049259299,0.403588036658622,0.7428197244114936,0.0,69.64197530864197
systemic spillover dominated,6550,0.5320253355515148,0.546423766958555,0.7746377891243709,0.0053435114503816794,13.477366255144032
lymphatic burden dominated,4223,0.7011064945121764,0.6936373500567541,0.874641652884942,0.26166232536111766,8.689300411522634
cytokine activation dominated,3276,0.5156042042958257,0.5266649109123404,0.7216795242733014,0.0,6.7407407407407405
macrophage activation dominated,705,0.5697628325962222,0.5619260017561368,0.7183340470209909,0.0,1.4506172839506173
